,source,target,is_a,weight
409,marco151262,Renzo_Reggiardo,fan,60.1333333333
410,jpablobq,Renzo_Reggiardo,fan,30.8666666667
411,junior_jml,Renzo_Reggiardo,fan,71.8666666667
412,954Darlin,Renzo_Reggiardo,fan,47.6666666667
413,yokosalazar34,Renzo_Reggiardo,fan,37.9
414,YGagarin29,Renzo_Reggiardo,fan,53.0
415,Jorge_Sakuma,Renzo_Reggiardo,fan,83.7
416,SaidaAde,Renzo_Reggiardo,fan,81.0
417,jenifer_orbezo,Renzo_Reggiardo,fan,44.6666666667
418,Lyanita_M_A,Renzo_Reggiardo,fan,61.9333333333
419,Juano182,Renzo_Reggiardo,fan,112.233333333
420,Brendisvs,Renzo_Reggiardo,fan,45.8
421,LuciaDammert,Renzo_Reggiardo,fan,101.233333333
422,gutata1963,Renzo_Reggiardo,fan,32.5666666667
423,gabrielacoas,Renzo_Reggiardo,fan,44.6333333333
424,tenazalcambio1,Renzo_Reggiardo,fan,33.7
425,William59295053,Renzo_Reggiardo,fan,28.9666666667
426,Jhonupeu,Renzo_Reggiardo,fan,35.0333333333
427,aLexandradvr,Renzo_Reggiardo,fan,111.233333333
428,paolarosado177,Renzo_Reggiardo,fan,83.0333333333
429,Corina10903350,Renzo_Reggiardo,fan,3.16666666667
430,johanalad,Renzo_Reggiardo,fan,100.1
431,jtorresvargas14,Renzo_Reggiardo,fan,48.0666666667
432,judith1636,Renzo_Reggiardo,fan,93.1
433,romero_fiorella,Renzo_Reggiardo,fan,85.8
434,elquenoteroba,Renzo_Reggiardo,fan,57.9333333333
435,modoavion_pe,Renzo_Reggiardo,fan,13.1
436,Dlazk1304,Renzo_Reggiardo,fan,82.1666666667
437,Caluben,Renzo_Reggiardo,fan,96.2666666667
438,xita47,Renzo_Reggiardo,fan,51.3
439,percyq19,Renzo_Reggiardo,fan,101.1
440,karitomarquez16,Renzo_Reggiardo,fan,102.5
441,Georyettt,Renzo_Reggiardo,fan,96.2333333333
442,Zoctu,Renzo_Reggiardo,fan,114.466666667
443,zchristi4n,Renzo_Reggiardo,fan,64.8666666667
444,PamelaOlaechea,Renzo_Reggiardo,fan,80.3666666667
445,PattyChavezE,Renzo_Reggiardo,fan,102.433333333
446,aldachavez1108,Renzo_Reggiardo,fan,42.8666666667
447,KioRodriguez,Renzo_Reggiardo,fan,104.333333333
448,ABOGADOCRIMINO1,Renzo_Reggiardo,fan,22.1
449,denielreyes,Renzo_Reggiardo,fan,98.7
450,eufraah1,Renzo_Reggiardo,fan,92.4333333333
451,juanco_roman,Renzo_Reggiardo,fan,44.4666666667
452,virgi_mz,Renzo_Reggiardo,fan,91.0
453,spaciosjoe,Renzo_Reggiardo,fan,110.533333333
454,elistoch,Renzo_Reggiardo,fan,103.833333333
455,VictorMarquin15,Renzo_Reggiardo,fan,30.0333333333
456,GanoNatura,Renzo_Reggiardo,fan,63.0
457,JocGina,Renzo_Reggiardo,fan,13.7333333333
458,KDeLaRouse,Renzo_Reggiardo,fan,99.8666666667
459,abogadoservicom,Renzo_Reggiardo,fan,40.3666666667
460,caradura_el,Renzo_Reggiardo,fan,5.3
